# lidar_stamp x y z roll pitch yaw
1577858809175475 17.514961 -246.744041 1.935899 -3.136110 -3.134860 1.712228 
1577858809276381 17.688704 -247.874661 1.942314 -3.134607 -3.133944 1.720627 
1577858809376050 17.856823 -248.999676 1.950773 -3.133414 -3.133220 1.729303 
1577858809475474 18.012615 -249.968457 1.957130 -3.133182 -3.133760 1.736905 
1577858809575746 18.195587 -251.061522 1.964923 -3.132442 -3.134250 1.745539 
1577858809675232 18.396591 -252.145219 1.971881 -3.132151 -3.134292 1.754194 
1577858809775430 18.560612 -253.143039 1.978243 -3.131669 -3.133761 1.762669 
1577858809876286 18.811893 -254.299412 1.986951 -3.131649 -3.133613 1.771156 
1577858809975732 19.012446 -255.282676 1.994081 -3.132221 -3.133844 1.779035 
1577858810075459 19.190342 -256.262586 2.001153 -3.131735 -3.135413 1.787287 
1577858810175445 19.474740 -257.377518 2.008188 -3.130869 -3.136029 1.795733 
1577858810275073 19.712983 -258.433190 2.012224 -3.131337 -3.135402 1.804179 
1577858810375412 19.948775 -259.390704 2.019074 -3.131789 -3.133644 1.811806 
1577858810475489 20.211028 -260.416720 2.028430 -3.132286 -3.132536 1.819995 
1577858810575758 20.464418 -261.422631 2.037848 -3.134126 -3.131977 1.828086 
1577858810675483 20.739866 -262.460820 2.048434 -3.135952 -3.130911 1.836227 
1577858810775592 20.999294 -263.404645 2.060143 -3.135958 -3.130401 1.843955 
