# timestamp x y z roll pitch yaw
1577858935795777 -841.817879 -504.623859 5.239298 0.010972 -0.001826 2.330874
1577858935805415 -841.932640 -504.496064 5.239150 0.010972 -0.002589 2.330866
1577858935815834 -841.967990 -504.451173 5.239745 0.010972 -0.002970 2.330862
1577858935826632 -842.091460 -504.330229 5.240664 0.011164 -0.003735 2.331046
1577858935837602 -842.126810 -504.285337 5.241260 0.011164 -0.004117 2.331042
1577858935848383 -842.256172 -504.156913 5.242111 0.011165 -0.005261 2.331031
1577858935859030 -842.308943 -504.125741 5.242840 0.011166 -0.005454 2.331221
1577858935869769 -842.414992 -503.991067 5.244625 0.011166 -0.006789 2.331208
1577858935879979 -842.450342 -503.946176 5.245220 0.011166 -0.007743 2.331198
1577858935890094 -842.603270 -503.787812 5.247802 0.011167 -0.008126 2.331387
1577858935900739 -842.620691 -503.801531 5.247937 0.011357 -0.008889 2.331379
1577858935911771 -842.756199 -503.629447 5.250383 0.011357 -0.009079 2.331377
1577858935922730 -842.885561 -503.501013 5.252235 0.011357 -0.009843 2.331370
1577858935933417 -842.920910 -503.456122 5.252831 0.011167 -0.010225 2.331366
1577858935943920 -843.035671 -503.328336 5.251683 0.011169 -0.010798 2.331553
1577858935954798 -843.079730 -503.290277 5.255345 0.010978 -0.010989 2.331551
1577858935965436 -843.194491 -503.162491 5.254197 0.010978 -0.011561 2.331545
1577858935975602 -843.238550 -503.124432 5.257858 0.010978 -0.011752 2.331543
1577858935986510 -843.353311 -502.996637 5.257711 0.010978 -0.011943 2.331541
1577858935996449 -843.397371 -502.958605 5.258373 0.010978 -0.012133 2.331540
1577858936006702 -843.512131 -502.830792 5.260225 0.011169 -0.012133 2.331540
1577858936018606 -843.556191 -502.792760 5.260887 0.011169 -0.012324 2.331538
1577858936028890 -843.670951 -502.664947 5.262739 0.011360 -0.012135 2.331730
1577858936040063 -843.720903 -502.619435 5.263334 0.011360 -0.012135 2.331730
1577858936050186 -843.835663 -502.491621 5.265186 0.011360 -0.011945 2.331732
1577858936060912 -843.994482 -502.325767 5.268700 0.011551 -0.011563 2.331736
1577858936071736 -844.038542 -502.287736 5.269362 0.011742 -0.011563 2.331736
1577858936082759 -844.153303 -502.159950 5.268214 0.011742 -0.011182 2.331740
1577858936093522 -844.197362 -502.121891 5.271877 0.011933 -0.010991 2.331742
1577858936104886 -844.312123 -501.994105 5.270729 0.011934 -0.010611 2.331937
1577858936115310 -844.356182 -501.956046 5.274390 0.011934 -0.010421 2.331939
